geosot	id
11000111111000	11722
11000111110010	11723
11000111110000	11724
11000111011010	11725
11000111011000	11726
11000111010010	11727
11000111010000	11728
11000101111010	11729
11000101111000	11730
11000101110010	11731
11000101110000	11732
11000101011010	11733
11000101011000	11734
11000101010010	11735
11000101010000	11736
01000101010000	11737
01000101010010	11738
01000101011000	11739
01000101011010	11740
01000101110000	11741
01000101110010	11742
01000101111000	11743
01000101111010	11744
01000111010000	11745
01000111010010	11746
01000111011000	11747
01000111011010	11748
01000111110000	11749
01000111110010	11750
01000111111000	11751
01000111111010	11752
01001101010000	11753
01001101010010	11754
01001101011000	11755
01001101011010	11756
01001101110000	11757
01001101110010	11758
01001101111000	11759
11001101101101	11760
11001101100111	11761
11001101100101	11762
11001101001111	11763
11001101001101	11764
11001101000111	11765
11001101000101	11766
11000111101111	11767
11000111101101	11768
11000111100111	11769
11000111100101	11770
11000111001111	11771
11000111001101	11772
11000111000111	11773
11000111000101	11774
11000101101111	11775
11000101101101	11776
11000101100111	11777
11000101100101	11778
11000101001111	11779
11000101001101	11780
11000101000111	11781
11000101000101	11782
01000101000101	11783
01000101000111	11784
01000101001101	11785
01000101001111	11786
01000101100101	11787
01000101100111	11788
01000101101101	11789
01000101101111	11790
01000111000101	11791
01000111000111	11792
01000111001101	11793
01000111001111	11794
01000111100101	11795
01000111100111	11796
01000111101101	11797
01000111101111	11798
01001101000101	11799
01001101000111	11800
01001101001101	11801
01001101001111	11802
01001101100101	11803
01001101100111	11804
01001101101101	11805
11001101101100	11806
11001101100110	11807
11001101100100	11808
11001101001110	11809
11001101001100	11810
11001101000110	11811
11001101000100	11812
11000111101110	11813
11000111101100	11814
11000111100110	11815
11000111100100	11816
11000111001110	11817
11000111001100	11818
11000111000110	11819
11000111000100	11820
11000101101110	11821
11000101101100	11822
11000101100110	11823
11000101100100	11824
11000101001110	11825
11000101001100	11826
11000101000110	11827
11000101000100	11828
01000101000100	11829
01000101000110	11830
01000101001100	11831
01000101001110	11832
01000101100100	11833
01000101100110	11834
