geosot	id
01010010011110	7927
01010010110100	7928
01010010110110	7929
01010010111100	7930
01010010111110	7931
01011000010100	7932
01011000010110	7933
01011000011100	7934
01011000011110	7935
01011000110100	7936
01011000110110	7937
01011000111100	7938
11011000111001	7939
11011000110011	7940
11011000110001	7941
11011000011011	7942
11011000011001	7943
11011000010011	7944
11011000010001	7945
11010010111011	7946
11010010111001	7947
11010010110011	7948
11010010110001	7949
11010010011011	7950
11010010011001	7951
11010010010011	7952
11010010010001	7953
11010000111011	7954
11010000111001	7955
11010000110011	7956
11010000110001	7957
11010000011011	7958
11010000011001	7959
11010000010011	7960
11010000010001	7961
01010000010001	7962
01010000010011	7963
01010000011001	7964
01010000011011	7965
01010000110001	7966
01010000110011	7967
01010000111001	7968
01010000111011	7969
01010010010001	7970
01010010010011	7971
01010010011001	7972
01010010011011	7973
01010010110001	7974
01010010110011	7975
01010010111001	7976
01010010111011	7977
01011000010001	7978
01011000010011	7979
01011000011001	7980
01011000011011	7981
01011000110001	7982
01011000110011	7983
01011000111001	7984
11011000111000	7985
11011000110010	7986
11011000110000	7987
11011000011010	7988
11011000011000	7989
11011000010010	7990
11011000010000	7991
11010010111010	7992
11010010111000	7993
11010010110010	7994
11010010110000	7995
11010010011010	7996
11010010011000	7997
11010010010010	7998
11010010010000	7999
11010000111010	8000
11010000111000	8001
11010000110010	8002
11010000110000	8003
11010000011010	8004
11010000011000	8005
11010000010010	8006
11010000010000	8007
01010000010000	8008
01010000010010	8009
01010000011000	8010
01010000011010	8011
01010000110000	8012
01010000110010	8013
01010000111000	8014
01010000111010	8015
01010010010000	8016
01010010010010	8017
01010010011000	8018
01010010011010	8019
01010010110000	8020
01010010110010	8021
01010010111000	8022
01010010111010	8023
01011000010000	8024
01011000010010	8025
01011000011000	8026
01011000011010	8027
01011000110000	8028
01011000110010	8029
01011000111000	8030
11011000101101	8031
11011000100111	8032
11011000100101	8033
11011000001111	8034
11011000001101	8035
11011000000111	8036
11011000000101	8037
11010010101111	8038
11010010101101	8039
11010010100111	8040
11010010100101	8041
11010010001111	8042
11010010001101	8043
11010010000111	8044
11010010000101	8045
11010000101111	8046
11010000101101	8047
11010000100111	8048
11010000100101	8049
11010000001111	8050
11010000001101	8051
11010000000111	8052
11010000000101	8053
01010000000101	8054
01010000000111	8055
01010000001101	8056
01010000001111	8057
01010000100101	8058
01010000100111	8059
01010000101101	8060
01010000101111	8061
01010010000101	8062
01010010000111	8063
01010010001101	8064
01010010001111	8065
01010010100101	8066
01010010100111	8067
01010010101101	8068
01010010101111	8069
01011000000101	8070
01011000000111	8071
01011000001101	8072
01011000001111	8073
01011000100101	8074
01011000100111	8075
01011000101101	8076
11011000101100	8077
11011000100110	8078
11011000100100	8079
11011000001110	8080
11011000001100	8081
11011000000110	8082
11011000000100	8083
11010010101110	8084
11010010101100	8085
11010010100110	8086
11010010100100	8087
11010010001110	8088
11010010001100	8089
11010010000110	8090
11010010000100	8091
11010000101110	8092
11010000101100	8093
11010000100110	8094
11010000100100	8095
11010000001110	8096
11010000001100	8097
11010000000110	8098
11010000000100	8099
01010000000100	8100
01010000000110	8101
01010000001100	8102
01010000001110	8103
01010000100100	8104
01010000100110	8105
01010000101100	8106
01010000101110	8107
01010010000100	8108
01010010000110	8109
01010010001100	8110
01010010001110	8111
01010010100100	8112
01010010100110	8113
01010010101100	8114
01010010101110	8115
01011000000100	8116
01011000000110	8117
01011000001100	8118
01011000001110	8119
01011000100100	8120
01011000100110	8121
01011000101100	8122
11011000101001	8123
11011000100011	8124
11011000100001	8125
11011000001011	8126
11011000001001	8127
11011000000011	8128
11011000000001	8129
11010010101011	8130
11010010101001	8131
11010010100011	8132
11010010100001	8133
11010010001011	8134
11010010001001	8135
11010010000011	8136
11010010000001	8137
11010000101011	8138
11010000101001	8139
11010000100011	8140
11010000100001	8141
11010000001011	8142
11010000001001	8143
11010000000011	8144
11010000000001	8145
01010000000001	8146
01010000000011	8147
01010000001001	8148
01010000001011	8149
01010000100001	8150
01010000100011	8151
01010000101001	8152
01010000101011	8153
01010010000001	8154
01010010000011	8155
01010010001001	8156
